Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Brian Cook,8:00,1,3,0.333,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,-4,LAL,20040523
Luke Walton,4:00,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,3,-1,LAL,20040523
Rick Fox,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,LAL,20040523
Latrell Sprewell,43:00:00,6,14,0.429,3,8,0.375,2,2,1,1,2,3,8,2,0,1,2,17,18,MIN,20040523
Kevin Garnett,42:00:00,10,20,0.5,1,1,1,3,5,0.6,1,10,11,3,2,1,2,0,24,16,MIN,20040523
Ervin Johnson,24:00:00,2,3,0.667,0,0,0,3,4,0.75,2,6,8,0,2,3,0,5,7,17,MIN,20040523
Trenton Hassell,7:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,-4,MIN,20040523
Sam Cassell,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MIN,20040523
Wally Szczerbiak,39:00:00,6,16,0.375,2,7,0.286,2,2,1,1,4,5,7,0,0,4,4,16,21,MIN,20040523
Darrick Martin,36:00:00,4,11,0.364,1,4,0.25,6,6,1,1,1,2,6,1,0,0,0,15,16,MIN,20040523
Fred Hoiberg,17:00,0,3,0,0,1,0,0,0,0,1,4,5,0,0,0,0,1,0,8,MIN,20040523
Oliver Miller,11:00,1,2,0.5,0,0,0,0,0,0,0,3,3,0,0,1,0,2,2,1,MIN,20040523
Mark Madsen,8:00,3,4,0.75,0,0,0,0,0,0,2,0,2,0,0,0,0,4,6,1,MIN,20040523
Michael Olowokandi,8:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4,0,-2,MIN,20040523
Gary Trent,4:00,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,-2,MIN,20040523
Chauncey Billups,39:00:00,1,7,0.143,0,1,0,4,4,1,1,4,5,6,5,1,5,3,6,1,DET,20040524
Richard Hamilton,38:00:00,8,14,0.571,0,0,0,7,8,0.875,0,8,8,3,0,0,3,5,23,15,DET,20040524
Rasheed Wallace,38:00:00,4,19,0.211,0,2,0,2,2,1,0,8,8,1,1,5,1,4,10,-2,DET,20040524
Tayshaun Prince,36:00:00,2,4,0.5,0,0,0,1,2,0.5,2,3,5,1,2,4,1,3,5,4,DET,20040524
Ben Wallace,29:00:00,1,5,0.2,0,0,0,3,6,0.5,2,6,8,1,1,4,1,2,5,6,DET,20040524
Mehmet Okur,16:00,2,4,0.5,1,1,1,4,4,1,1,3,4,0,0,1,1,2,9,1,DET,20040524
Corliss Williamson,15:00,3,7,0.429,0,0,0,3,4,0.75,0,1,1,2,0,1,0,2,9,-3,DET,20040524
Mike James,12:00,1,3,0.333,1,1,1,0,2,0,1,1,2,1,0,0,1,1,3,5,DET,20040524
Elden Campbell,10:00,1,2,0.5,0,0,0,0,2,0,0,1,1,0,1,3,0,3,2,7,DET,20040524
Lindsey Hunter,7:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-9,DET,20040524
Darvin Ham,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,20040524
Jermaine O'Neal,40:00:00,6,18,0.333,0,1,0,4,4,1,1,7,8,0,0,2,2,3,16,-3,IND,20040524
Metta World Peace,40:00:00,5,21,0.238,0,4,0,3,4,0.75,1,6,7,0,1,0,4,6,13,1,IND,20040524
Reggie Miller,35:00:00,5,13,0.385,1,6,0.167,10,10,1,2,4,6,1,0,0,4,2,21,-3,IND,20040524
Jeff Foster,27:00:00,1,2,0.5,0,0,0,0,0,0,4,5,9,1,2,1,0,3,2,-6,IND,20040524
Jamaal Tinsley,19:00,2,7,0.286,0,3,0,0,0,0,1,2,3,1,1,1,2,6,4,-2,IND,20040524
Anthony Johnson,29:00:00,2,7,0.286,1,2,0.5,1,2,0.5,1,2,3,4,1,0,2,4,6,-3,IND,20040524
Al Harrington,18:00,0,4,0,0,0,0,0,2,0,3,4,7,0,0,0,0,3,0,-4,IND,20040524
Austin Croshere,14:00,0,3,0,0,1,0,2,2,1,1,4,5,0,0,0,0,0,2,0,IND,20040524
Jonathan Bender,13:00,1,4,0.25,1,2,0.5,0,0,0,0,2,2,1,0,2,2,2,3,-3,IND,20040524
Fred Jones,5:00,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,-2,IND,20040524
Latrell Sprewell,43:00:00,7,17,0.412,3,7,0.429,1,2,0.5,1,1,2,3,4,0,4,2,18,-11,MIN,20040525
Kevin Garnett,42:00:00,9,21,0.429,1,2,0.5,3,4,0.75,3,8,11,7,0,0,4,6,22,-7,MIN,20040525
Sam Cassell,26:00:00,7,12,0.583,3,5,0.6,1,1,1,0,1,1,2,0,0,2,2,18,-9,MIN,20040525
Ervin Johnson,19:00,1,1,1,0,0,0,0,0,0,1,4,5,1,0,0,0,5,2,-1,MIN,20040525
Trenton Hassell,16:00,3,4,0.75,0,0,0,0,0,0,1,0,1,1,0,0,0,3,6,-4,MIN,20040525
Wally Szczerbiak,26:00:00,6,12,0.5,2,4,0.5,7,7,1,2,5,7,2,2,0,4,4,21,-4,MIN,20040525
Darrick Martin,18:00,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,5,MIN,20040525
Fred Hoiberg,17:00,1,1,1,0,0,0,0,0,0,1,4,5,1,0,0,0,1,2,-12,MIN,20040525
Michael Olowokandi,16:00,0,4,0,0,1,0,0,0,0,0,2,2,0,0,0,1,4,0,4,MIN,20040525
Mark Madsen,10:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,-11,MIN,20040525
Oliver Miller,6:00,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,4,0,-4,MIN,20040525
Gary Trent,1:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,MIN,20040525
Kobe Bryant,45:00:00,5,12,0.417,2,6,0.333,10,11,0.909,0,2,2,6,0,0,4,3,22,11,LAL,20040525
Shaquille O'Neal,44:00:00,7,10,0.7,0,0,0,8,22,0.364,7,10,17,4,0,4,1,3,22,12,LAL,20040525
Karl Malone,39:00:00,4,12,0.333,0,0,0,3,4,0.75,2,4,6,5,2,0,4,5,11,3,LAL,20040525
Gary Payton,36:00:00,8,11,0.727,2,5,0.4,0,0,0,0,5,5,9,1,0,2,3,18,1,LAL,20040525
Devean George,22:00,5,8,0.625,2,2,1,0,0,0,1,0,1,1,1,0,0,1,12,10,LAL,20040525
Derek Fisher,27:00:00,2,8,0.25,1,2,0.5,1,2,0.5,1,5,6,3,3,0,2,1,6,2,LAL,20040525
Stanislav Medvedenko,10:00,3,5,0.6,0,0,0,0,0,0,1,0,1,0,0,1,0,1,6,1,LAL,20040525
Kareem Rush,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,LAL,20040525
Rick Fox,6:00,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,3,LAL,20040525
Luke Walton,2:00,0,0,0,0,0,0,3,4,0.75,0,0,0,0,0,0,0,0,3,3,LAL,20040525
Brian Cook,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,LAL,20040525
Jermaine O'Neal,42:00:00,7,17,0.412,0,1,0,10,11,0.909,1,8,9,2,0,1,3,3,24,-13,IND,20040526
Metta World Peace,37:00:00,4,13,0.308,0,5,0,5,6,0.833,2,3,5,1,3,1,1,5,13,-13,IND,20040526
Reggie Miller,31:00:00,1,4,0.25,1,3,0.333,0,0,0,0,2,2,1,0,0,1,2,3,-5,IND,20040526
Jamaal Tinsley,30:00:00,4,11,0.364,1,4,0.25,3,4,0.75,0,1,1,4,2,0,3,6,12,-13,IND,20040526
Jeff Foster,14:00,0,1,0,0,0,0,0,0,0,2,3,5,0,0,0,1,1,0,-4,IND,20040526
Al Harrington,27:00:00,5,12,0.417,1,2,0.5,2,2,1,1,2,3,1,2,1,3,4,13,-6,IND,20040526
Austin Croshere,21:00,2,7,0.286,1,1,1,1,2,0.5,2,5,7,2,0,0,0,6,6,15,IND,20040526
Anthony Johnson,18:00,0,3,0,0,1,0,2,2,1,2,1,3,1,2,1,0,0,2,6,IND,20040526
Fred Jones,15:00,1,3,0.333,0,1,0,0,0,0,0,2,2,0,1,0,1,2,2,5,IND,20040526
Jonathan Bender,5:00,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,3,-7,IND,20040526
Richard Hamilton,44:00:00,7,19,0.368,0,2,0,6,8,0.75,0,4,4,5,0,0,3,2,20,11,DET,20040526
Ben Wallace,43:00:00,7,8,0.875,0,0,0,3,4,0.75,4,12,16,0,1,3,3,3,17,19,DET,20040526
Rasheed Wallace,41:00:00,8,15,0.533,0,1,0,4,6,0.667,1,3,4,3,2,1,2,5,20,12,DET,20040526
Chauncey Billups,39:00:00,4,11,0.364,1,4,0.25,5,6,0.833,1,4,5,8,0,1,1,2,14,11,DET,20040526
Tayshaun Prince,28:00:00,1,5,0.2,0,1,0,3,4,0.75,0,4,4,0,1,1,2,2,5,-14,DET,20040526
Corliss Williamson,13:00,1,3,0.333,0,0,0,3,4,0.75,0,2,2,2,0,0,0,5,5,13,DET,20040526
Mehmet Okur,11:00,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-9,DET,20040526
Mike James,9:00,1,2,0.5,0,1,0,0,0,0,0,1,1,1,0,0,3,3,2,-4,DET,20040526
Darvin Ham,8:00,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,3,2,2,0,DET,20040526
Lindsey Hunter,4:00,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-4,DET,20040526
Kevin Garnett,47:00:00,12,24,0.5,1,2,0.5,3,4,0.75,2,11,13,9,1,1,4,3,28,-5,MIN,20040527
Latrell Sprewell,41:00:00,4,18,0.222,0,5,0,4,5,0.8,2,3,5,4,0,0,1,3,12,-13,MIN,20040527
Trenton Hassell,22:00,3,4,0.75,0,0,0,2,2,1,0,0,0,2,2,0,1,2,8,-4,MIN,20040527
Ervin Johnson,19:00,1,1,1,0,0,0,0,2,0,0,3,3,0,0,0,1,3,2,-12,MIN,20040527
Darrick Martin,15:00,1,6,0.167,1,3,0.333,0,0,0,0,0,0,1,0,0,0,1,3,-8,MIN,20040527
Wally Szczerbiak,34:00:00,6,15,0.4,1,1,1,6,6,1,2,3,5,0,1,0,2,4,19,2,MIN,20040527
Fred Hoiberg,28:00:00,3,8,0.375,1,4,0.25,0,0,0,1,4,5,3,0,0,0,2,7,3,MIN,20040527
Mark Madsen,17:00,1,3,0.333,0,0,0,1,2,0.5,3,3,6,0,0,0,0,4,3,11,MIN,20040527
Michael Olowokandi,9:00,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,0,5,0,-1,MIN,20040527
Sam Cassell,5:00,1,4,0.25,1,2,0.5,0,0,0,0,0,0,0,0,1,0,1,3,-2,MIN,20040527
Oliver Miller,3:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,-6,MIN,20040527
Karl Malone,43:00:00,5,18,0.278,0,0,0,2,3,0.667,6,5,11,8,1,0,2,2,12,2,LAL,20040527
Kobe Bryant,41:00:00,10,24,0.417,2,8,0.25,9,10,0.9,2,6,8,4,1,1,4,3,31,4,LAL,20040527
Shaquille O'Neal,40:00:00,6,10,0.6,0,0,0,7,15,0.467,4,15,19,1,0,3,1,4,19,9,LAL,20040527
Gary Payton,30:00:00,2,6,0.333,0,2,0,2,2,1,0,2,2,6,1,0,0,4,6,-6,LAL,20040527
Devean George,24:00:00,2,3,0.667,0,1,0,0,0,0,1,1,2,0,1,0,0,3,4,13,LAL,20040527
Derek Fisher,28:00:00,7,13,0.538,0,2,0,1,1,1,1,3,4,3,0,0,0,0,15,2,LAL,20040527
Stanislav Medvedenko,12:00,0,3,0,0,0,0,0,0,0,3,1,4,1,0,0,1,2,0,2,LAL,20040527
Kareem Rush,11:00,0,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,12,LAL,20040527
Rick Fox,10:00,2,3,0.667,1,2,0.5,0,0,0,1,0,1,1,0,0,1,3,5,-4,LAL,20040527
Luke Walton,1:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,LAL,20040527
Metta World Peace,39:00:00,8,19,0.421,2,5,0.4,2,4,0.5,1,9,10,4,2,1,2,2,20,10,IND,20040528
Jermaine O'Neal,38:00:00,5,11,0.455,0,0,0,2,2,1,3,10,13,0,1,4,1,5,12,22,IND,20040528
Reggie Miller,31:00:00,6,7,0.857,3,4,0.75,0,0,0,0,1,1,3,0,0,1,2,15,13,IND,20040528
Austin Croshere,30:00:00,5,8,0.625,3,4,0.75,1,2,0.5,0,3,3,1,0,1,1,1,14,16,IND,20040528
Jamaal Tinsley,20:00,2,5,0.4,0,0,0,0,0,0,0,2,2,5,0,0,3,3,4,14,IND,20040528
Anthony Johnson,26:00:00,2,4,0.5,0,0,0,2,2,1,0,4,4,2,0,0,1,4,6,7,IND,20040528
Al Harrington,23:00,2,6,0.333,0,1,0,4,4,1,0,4,4,0,1,0,1,4,8,-3,IND,20040528
Fred Jones,18:00,0,4,0,0,1,0,0,0,0,0,2,2,0,1,0,1,4,0,2,IND,20040528
Jonathan Bender,9:00,2,5,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,5,IND,20040528
Kenny Anderson,3:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6,IND,20040528
Jeff Foster,3:00,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,-5,IND,20040528
Rasheed Wallace,41:00:00,5,17,0.294,0,3,0,0,2,0,5,5,10,0,2,2,2,2,10,-18,DET,20040528
Richard Hamilton,40:00:00,10,24,0.417,1,3,0.333,1,2,0.5,2,2,4,4,1,0,2,3,22,-14,DET,20040528
Ben Wallace,40:00:00,0,5,0,0,0,0,1,4,0.25,7,12,19,0,0,1,1,3,1,-6,DET,20040528
Chauncey Billups,39:00:00,5,14,0.357,3,9,0.333,8,9,0.889,1,1,2,5,1,0,5,3,21,-7,DET,20040528
Tayshaun Prince,32:00:00,0,5,0,0,2,0,0,0,0,2,3,5,4,0,0,1,1,0,-7,DET,20040528
Corliss Williamson,16:00,2,4,0.5,0,0,0,3,4,0.75,0,3,3,0,0,0,0,4,7,-6,DET,20040528
Mike James,11:00,1,4,0.25,1,1,1,0,0,0,1,1,2,0,0,0,1,2,3,-5,DET,20040528
Lindsey Hunter,8:00,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,-3,DET,20040528
Mehmet Okur,5:00,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,-7,DET,20040528
Darvin Ham,5:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,DET,20040528
Elden Campbell,3:00,1,2,0.5,0,0,0,2,2,1,0,0,0,0,0,1,0,1,4,0,DET,20040528
Kobe Bryant,44:00:00,8,19,0.421,3,8,0.375,4,6,0.667,1,5,6,7,1,0,4,3,23,-1,LAL,20040529
Shaquille O'Neal,42:00:00,6,11,0.545,0,0,0,5,11,0.455,5,8,13,3,0,4,3,6,17,2,LAL,20040529
Karl Malone,40:00:00,7,10,0.7,0,0,0,3,4,0.75,0,9,9,3,0,0,2,5,17,-10,LAL,20040529
Gary Payton,38:00:00,4,8,0.5,0,3,0,0,0,0,0,2,2,6,1,0,0,2,8,8,LAL,20040529
Devean George,20:00,2,9,0.222,0,4,0,0,0,0,0,1,1,0,0,0,0,3,4,9,LAL,20040529
Derek Fisher,33:00:00,7,11,0.636,2,4,0.5,1,2,0.5,0,4,4,4,1,0,0,1,17,-5,LAL,20040529
Kareem Rush,10:00,1,5,0.2,1,2,0.5,0,0,0,0,1,1,0,0,1,1,3,3,-9,LAL,20040529
Stanislav Medvedenko,6:00,1,1,1,0,0,0,0,1,0,0,2,2,1,0,0,0,2,2,-7,LAL,20040529
Rick Fox,5:00,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,-8,LAL,20040529
Luke Walton,1:00,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,3,8,LAL,20040529
Brian Cook,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,LAL,20040529
Kevin Garnett,46:00:00,10,23,0.435,0,0,0,10,11,0.909,3,16,19,4,1,1,0,3,30,0,MIN,20040529
Latrell Sprewell,44:00:00,11,21,0.524,1,4,0.25,5,6,0.833,0,4,4,5,2,0,1,1,28,3,MIN,20040529
Trenton Hassell,28:00:00,2,4,0.5,0,0,0,2,2,1,0,1,1,1,1,0,0,2,6,-10,MIN,20040529
Michael Olowokandi,19:00,0,3,0,0,0,0,1,2,0.5,2,5,7,0,0,2,2,5,1,5,MIN,20040529
Darrick Martin,12:00,1,6,0.167,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,-5,MIN,20040529
Fred Hoiberg,38:00:00,5,10,0.5,1,3,0.333,3,3,1,1,2,3,1,2,0,1,3,14,6,MIN,20040529
Wally Szczerbiak,31:00:00,3,9,0.333,0,4,0,5,7,0.714,0,2,2,2,1,0,1,1,11,11,MIN,20040529
Mark Madsen,17:00,3,4,0.75,0,0,0,0,1,0,2,3,5,0,0,0,0,4,6,-1,MIN,20040529
Ervin Johnson,5:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,MIN,20040529
Richard Hamilton,43:00:00,12,22,0.545,1,2,0.5,8,8,1,0,3,3,3,1,1,1,0,33,21,DET,20040530
Ben Wallace,41:00:00,0,2,0,0,0,0,1,2,0.5,3,9,12,3,1,5,0,1,1,22,DET,20040530
Rasheed Wallace,38:00:00,8,17,0.471,2,4,0.5,4,4,1,2,6,8,2,2,3,3,3,22,19,DET,20040530
Tayshaun Prince,32:00:00,3,7,0.429,1,2,0.5,2,2,1,0,4,4,2,0,3,0,3,9,20,DET,20040530
Chauncey Billups,32:00:00,2,7,0.286,0,2,0,3,3,1,1,3,4,7,1,0,5,2,7,18,DET,20040530
Corliss Williamson,16:00,1,7,0.143,0,0,0,3,4,0.75,1,2,3,0,0,0,3,3,5,-11,DET,20040530
Lindsey Hunter,16:00,1,3,0.333,0,0,0,0,0,0,0,3,3,0,1,1,0,4,2,-5,DET,20040530
Elden Campbell,8:00,0,2,0,0,0,0,0,0,0,2,1,3,0,0,0,1,3,0,1,DET,20040530
Mehmet Okur,5:00,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,-4,DET,20040530
Mike James,5:00,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,5,DET,20040530
Darvin Ham,4:00,1,2,0.5,0,0,0,0,0,0,1,3,4,0,0,0,0,2,2,4,DET,20040530
Metta World Peace,38:00:00,4,15,0.267,1,5,0.2,4,6,0.667,2,9,11,3,1,1,0,3,13,-15,IND,20040530
Jermaine O'Neal,38:00:00,5,10,0.5,0,0,0,1,4,0.25,2,4,6,1,0,3,1,5,11,-22,IND,20040530
Austin Croshere,33:00:00,0,7,0,0,3,0,2,2,1,2,3,5,2,2,1,2,1,2,-14,IND,20040530
Jamaal Tinsley,27:00:00,3,13,0.231,0,5,0,2,2,1,0,3,3,5,1,1,1,3,8,-15,IND,20040530
Reggie Miller,26:00:00,2,5,0.4,0,1,0,1,2,0.5,1,3,4,3,2,1,2,2,5,-17,IND,20040530
Fred Jones,26:00:00,5,8,0.625,3,4,0.75,0,0,0,1,2,3,0,1,2,1,2,13,-3,IND,20040530
Al Harrington,23:00,4,11,0.364,0,0,0,1,2,0.5,2,3,5,1,0,0,0,2,9,-2,IND,20040530
Anthony Johnson,21:00,2,6,0.333,0,3,0,0,0,0,0,3,3,4,2,1,1,2,4,-3,IND,20040530
Jeff Foster,4:00,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,IND,20040530
Jonathan Bender,4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,IND,20040530
Latrell Sprewell,44:00:00,8,22,0.364,0,3,0,11,11,1,0,4,4,5,1,0,3,1,27,-3,MIN,20040531
Kevin Garnett,43:00:00,9,20,0.45,0,1,0,4,6,0.667,4,13,17,2,1,2,8,6,22,-4,MIN,20040531
Trenton Hassell,33:00:00,5,10,0.5,1,1,1,0,0,0,1,0,1,1,0,0,0,3,11,-8,MIN,20040531
Darrick Martin,24:00:00,3,6,0.5,0,1,0,2,2,1,3,3,6,5,0,0,1,2,8,2,MIN,20040531
Michael Olowokandi,17:00,1,1,1,0,0,0,0,0,0,1,3,4,0,0,1,0,4,2,3,MIN,20040531
Wally Szczerbiak,29:00:00,3,8,0.375,1,3,0.333,6,6,1,0,5,5,1,1,1,2,4,13,-4,MIN,20040531
Fred Hoiberg,26:00:00,2,4,0.5,0,0,0,0,0,0,1,6,7,2,1,0,2,0,4,-7,MIN,20040531
Mark Madsen,14:00,1,2,0.5,0,0,0,1,1,1,2,1,3,1,0,0,1,4,3,-12,MIN,20040531
Ervin Johnson,5:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,2,MIN,20040531
Oliver Miller,5:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,MIN,20040531
Karl Malone,43:00:00,4,9,0.444,0,0,0,2,3,0.667,2,8,10,7,1,0,3,5,10,0,LAL,20040531
Kobe Bryant,39:00:00,6,17,0.353,1,3,0.333,7,11,0.636,0,0,0,4,2,1,0,3,20,10,LAL,20040531
Shaquille O'Neal,38:00:00,9,15,0.6,0,0,0,7,20,0.35,5,6,11,1,0,1,4,5,25,10,LAL,20040531
Gary Payton,35:00:00,3,11,0.273,1,4,0.25,0,0,0,2,1,3,8,1,1,0,2,7,-2,LAL,20040531
Devean George,21:00,2,6,0.333,0,3,0,0,0,0,2,1,3,1,2,1,1,4,4,-3,LAL,20040531
Derek Fisher,27:00:00,1,7,0.143,1,3,0.333,1,2,0.5,1,3,4,6,1,0,0,3,4,11,LAL,20040531
Kareem Rush,23:00,6,8,0.75,6,7,0.857,0,0,0,0,3,3,3,1,0,2,2,18,5,LAL,20040531
Stanislav Medvedenko,7:00,4,4,1,0,0,0,0,0,0,1,2,3,0,0,1,0,2,8,5,LAL,20040531
Rick Fox,5:00,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,-3,LAL,20040531
Brian Cook,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,LAL,20040531
Metta World Peace,43:00:00,4,13,0.308,2,7,0.286,1,2,0.5,0,10,10,5,2,0,2,3,11,-2,IND,20040601
Jermaine O'Neal,41:00:00,8,19,0.421,0,0,0,4,4,1,0,10,10,1,0,3,3,1,20,-2,IND,20040601
Al Harrington,29:00:00,2,6,0.333,0,0,0,0,0,0,0,4,4,0,1,0,1,4,4,-3,IND,20040601
Reggie Miller,28:00:00,2,8,0.25,2,7,0.286,0,1,0,0,3,3,2,2,1,1,2,6,1,IND,20040601
Jamaal Tinsley,3:00,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,IND,20040601
Anthony Johnson,37:00:00,3,9,0.333,1,3,0.333,2,2,1,3,0,3,7,1,0,0,1,9,4,IND,20040601
Austin Croshere,26:00:00,4,6,0.667,1,2,0.5,3,4,0.75,3,4,7,0,0,0,1,2,12,-4,IND,20040601
Fred Jones,14:00,1,1,1,0,0,0,0,0,0,0,2,2,1,0,0,0,3,2,1,IND,20040601
Jonathan Bender,11:00,0,2,0,0,2,0,1,2,0.5,0,1,1,0,0,3,2,2,1,-8,IND,20040601
Kenny Anderson,6:00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,-7,IND,20040601
Jeff Foster,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,IND,20040601
Richard Hamilton,47:00:00,7,15,0.467,0,0,0,7,8,0.875,2,3,5,5,1,0,3,5,21,4,DET,20040601
Ben Wallace,45:00:00,6,16,0.375,0,0,0,0,1,0,4,12,16,0,2,1,2,0,12,1,DET,20040601
Rasheed Wallace,43:00:00,5,12,0.417,1,2,0.5,0,0,0,3,8,11,2,1,1,3,3,11,4,DET,20040601
Chauncey Billups,40:00:00,2,13,0.154,2,6,0.333,4,6,0.667,0,4,4,4,0,0,2,2,10,-3,DET,20040601
Tayshaun Prince,26:00:00,3,12,0.25,1,1,1,0,0,0,2,4,6,2,1,2,0,5,7,-3,DET,20040601
Corliss Williamson,19:00,3,11,0.273,0,0,0,0,0,0,3,1,4,2,1,0,1,2,6,10,DET,20040601
Lindsey Hunter,9:00,1,2,0.5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,7,DET,20040601
Mehmet Okur,9:00,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3,DET,20040601
Darvin Ham,2:00,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-3,DET,20040601
Richard Hamilton,43:00:00,5,16,0.313,0,0,0,2,4,0.5,3,4,7,5,1,0,6,0,12,11,DET,20040606
Ben Wallace,41:00:00,4,8,0.5,0,0,0,1,2,0.5,1,7,8,0,1,1,2,1,9,18,DET,20040606
Chauncey Billups,39:00:00,8,14,0.571,2,4,0.5,4,4,1,1,2,3,4,3,0,2,1,22,11,DET,20040606
Tayshaun Prince,35:00:00,5,10,0.5,1,4,0.25,0,0,0,1,5,6,4,2,0,0,3,11,18,DET,20040606
Rasheed Wallace,29:00:00,3,4,0.75,2,2,1,6,6,1,1,7,8,1,0,1,1,3,14,13,DET,20040606
Elden Campbell,18:00,2,5,0.4,0,0,0,2,6,0.333,1,0,1,4,2,2,1,1,6,-3,DET,20040606
Lindsey Hunter,13:00,1,5,0.2,1,2,0.5,2,2,1,0,1,1,0,0,0,1,2,5,2,DET,20040606
Corliss Williamson,11:00,2,3,0.667,0,0,0,3,4,0.75,1,1,2,1,0,0,0,3,7,-5,DET,20040606
Mehmet Okur,6:00,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,1,1,1,-3,DET,20040606
Darvin Ham,4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,DET,20040606
Mike James,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,20040606
Kobe Bryant,47:00:00,10,27,0.37,1,6,0.167,4,4,1,1,3,4,4,4,2,3,2,25,-12,LAL,20040606
Shaquille O'Neal,45:00:00,13,16,0.813,0,0,0,8,12,0.667,5,6,11,1,0,1,6,4,34,-8,LAL,20040606
Karl Malone,44:00:00,2,9,0.222,0,0,0,0,0,0,3,8,11,3,0,1,0,1,4,-10,LAL,20040606
Gary Payton,31:00:00,1,4,0.25,1,1,1,0,0,0,1,1,2,3,2,0,2,5,3,-15,LAL,20040606
Devean George,27:00:00,2,5,0.4,1,2,0.5,0,0,0,0,3,3,0,1,0,1,2,5,-7,LAL,20040606
Derek Fisher,20:00,1,9,0.111,0,2,0,0,0,0,3,0,3,3,1,0,1,2,2,0,LAL,20040606
Kareem Rush,16:00,0,3,0,0,2,0,0,0,0,0,2,2,0,0,0,2,4,0,-3,LAL,20040606
Stanislav Medvedenko,6:00,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,3,2,-5,LAL,20040606
Rick Fox,4:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,LAL,20040606
Chauncey Billups,47:00:00,6,15,0.4,2,2,1,13,14,0.929,2,2,4,9,0,0,3,1,27,-1,DET,20040608
