Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Sam Perkins,5:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-2,IND,20010502
Peja Stojakovic,44:00:00,10,18,0.556,3,6,0.5,14,14,1,4,2,6,0,2,1,3,3,37,11,SAC,20010502
Chris Webber,44:00:00,7,27,0.259,0,0,0,1,3,0.333,3,7,10,3,1,2,3,3,15,11,SAC,20010502
Doug Christie,44:00:00,1,4,0.25,0,1,0,2,2,1,0,2,2,0,3,1,3,4,4,11,SAC,20010502
Vlade Divac,23:00,4,13,0.308,0,1,0,2,4,0.5,3,5,8,4,1,0,0,2,10,-12,SAC,20010502
Jason Williams,19:00,3,8,0.375,1,4,0.25,0,0,0,0,3,3,2,0,0,3,4,7,-3,SAC,20010502
Bobby Jackson,29:00:00,3,6,0.5,1,3,0.333,3,4,0.75,1,3,4,5,1,0,1,3,10,10,SAC,20010502
Scot Pollard,24:00:00,1,3,0.333,0,0,0,4,6,0.667,5,8,13,1,0,2,1,3,6,7,SAC,20010502
Hedo Turkoglu,8:00,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,SAC,20010502
Jon Barry,5:00,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-2,SAC,20010502
Jason Kidd,48:00:00,5,16,0.313,1,3,0.333,2,2,1,1,6,7,14,2,0,4,5,13,-7,PHO,20010502
