Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes
"Fri, Apr 30, 2004",8:30 PM,Denver Nuggets,91,Minnesota Timberwolves,102,Box Score,,
"Sun, May 2, 2004",12:00 PM,Miami Heat,83,New Orleans Hornets,89,Box Score,,
"Sun, May 2, 2004",2:30 PM,Los Angeles Lakers,78,San Antonio Spurs,88,Box Score,,
"Mon, May 3, 2004",8:00 PM,New Jersey Nets,56,Detroit Pistons,78,Box Score,,
"Tue, May 4, 2004",7:00 PM,New Orleans Hornets,77,Miami Heat,85,Box Score,,
"Tue, May 4, 2004",8:30 PM,Sacramento Kings,104,Minnesota Timberwolves,98,Box Score,,
"Wed, May 5, 2004",8:00 PM,Los Angeles Lakers,85,San Antonio Spurs,95,Box Score,,
"Thu, May 6, 2004",8:00 PM,Miami Heat,81,Indiana Pacers,94,Box Score,,
"Fri, May 7, 2004",8:00 PM,New Jersey Nets,80,Detroit Pistons,95,Box Score,,
"Sat, May 8, 2004",6:00 PM,Miami Heat,80,Indiana Pacers,91,Box Score,,
"Sat, May 8, 2004",8:30 PM,Sacramento Kings,89,Minnesota Timberwolves,94,Box Score,,
"Sun, May 9, 2004",12:30 PM,San Antonio Spurs,81,Los Angeles Lakers,105,Box Score,,
"Sun, May 9, 2004",8:00 PM,Detroit Pistons,64,New Jersey Nets,82,Box Score,,
"Mon, May 10, 2004",8:00 PM,Indiana Pacers,87,Miami Heat,94,Box Score,,
"Mon, May 10, 2004",7:30 PM,Minnesota Timberwolves,114,Sacramento Kings,113,Box Score,OT,
"Tue, May 11, 2004",7:30 PM,San Antonio Spurs,90,Los Angeles Lakers,98,Box Score,,
"Tue, May 11, 2004",8:00 PM,Detroit Pistons,79,New Jersey Nets,94,Box Score,,
"Wed, May 12, 2004",8:00 PM,Indiana Pacers,88,Miami Heat,100,Box Score,,
"Wed, May 12, 2004",7:30 PM,Minnesota Timberwolves,81,Sacramento Kings,87,Box Score,,
"Thu, May 13, 2004",7:00 PM,Los Angeles Lakers,74,San Antonio Spurs,73,Box Score,,
"Fri, May 14, 2004",7:00 PM,New Jersey Nets,127,Detroit Pistons,120,Box Score,3OT,
"Fri, May 14, 2004",8:30 PM,Sacramento Kings,74,Minnesota Timberwolves,86,Box Score,,
"Sat, May 15, 2004",7:00 PM,Miami Heat,83,Indiana Pacers,94,Box Score,,
"Sat, May 15, 2004",7:30 PM,San Antonio Spurs,76,Los Angeles Lakers,88,Box Score,,
"Sun, May 16, 2004",8:00 PM,Detroit Pistons,81,New Jersey Nets,75,Box Score,,
"Sun, May 16, 2004",12:30 PM,Minnesota Timberwolves,87,Sacramento Kings,104,Box Score,,
"Tue, May 18, 2004",8:00 PM,Indiana Pacers,73,Miami Heat,70,Box Score,,
"Wed, May 19, 2004",7:30 PM,Sacramento Kings,80,Minnesota Timberwolves,83,Box Score,,
"Thu, May 20, 2004",8:00 PM,New Jersey Nets,69,Detroit Pistons,90,Box Score,,
"Fri, May 21, 2004",8:00 PM,Los Angeles Lakers,97,Minnesota Timberwolves,88,Box Score,,
"Sat, May 22, 2004",7:00 PM,Detroit Pistons,74,Indiana Pacers,78,Box Score,,
"Sun, May 23, 2004",7:30 PM,Los Angeles Lakers,71,Minnesota Timberwolves,89,Box Score,,
"Mon, May 24, 2004",7:00 PM,Detroit Pistons,72,Indiana Pacers,67,Box Score,,
"Tue, May 25, 2004",6:00 PM,Minnesota Timberwolves,89,Los Angeles Lakers,100,Box Score,,
"Wed, May 26, 2004",8:30 PM,Indiana Pacers,78,Detroit Pistons,85,Box Score,,
"Thu, May 27, 2004",6:00 PM,Minnesota Timberwolves,85,Los Angeles Lakers,92,Box Score,,
"Fri, May 28, 2004",8:00 PM,Indiana Pacers,83,Detroit Pistons,68,Box Score,,
"Sat, May 29, 2004",7:30 PM,Los Angeles Lakers,96,Minnesota Timberwolves,98,Box Score,,
"Sun, May 30, 2004",7:00 PM,Detroit Pistons,83,Indiana Pacers,65,Box Score,,
"Mon, May 31, 2004",6:00 PM,Minnesota Timberwolves,90,Los Angeles Lakers,96,Box Score,,
"Tue, Jun 1, 2004",8:00 PM,Indiana Pacers,65,Detroit Pistons,69,Box Score,,
"Sun, Jun 6, 2004",6:00 PM,Detroit Pistons,87,Los Angeles Lakers,75,Box Score,,
"Tue, Jun 8, 2004",6:00 PM,Detroit Pistons,91,Los Angeles Lakers,99,Box Score,OT,
"Thu, Jun 10, 2004",9:00 PM,Los Angeles Lakers,68,Detroit Pistons,88,Box Score,,
"Sun, Jun 13, 2004",9:00 PM,Los Angeles Lakers,80,Detroit Pistons,88,Box Score,,
"Tue, Jun 15, 2004",9:00 PM,Los Angeles Lakers,87,Detroit Pistons,100,Box Score,,
"Sat, Apr 23, 2005",8:00 PM,Indiana Pacers,82,Boston Celtics,102,Box Score,,
"Sat, Apr 23, 2005",4:30 PM,Houston Rockets,98,Dallas Mavericks,86,Box Score,,
"Sat, Apr 23, 2005",3:00 PM,Philadelphia 76ers,85,Detroit Pistons,106,Box Score,,
"Sat, Apr 23, 2005",7:30 PM,Sacramento Kings,82,Seattle SuperSonics,87,Box Score,,
"Sun, Apr 24, 2005",4:30 PM,Washington Wizards,94,Chicago Bulls,103,Box Score,,
"Sun, Apr 24, 2005",3:00 PM,New Jersey Nets,98,Miami Heat,116,Box Score,,
"Sun, Apr 24, 2005",7:30 PM,Memphis Grizzlies,103,Phoenix Suns,114,Box Score,,
"Sun, Apr 24, 2005",7:00 PM,Denver Nuggets,93,San Antonio Spurs,87,Box Score,,
"Mon, Apr 25, 2005",7:00 PM,Indiana Pacers,82,Boston Celtics,79,Box Score,,
"Mon, Apr 25, 2005",8:30 PM,Houston Rockets,113,Dallas Mavericks,111,Box Score,,
"Tue, Apr 26, 2005",7:30 PM,Philadelphia 76ers,84,Detroit Pistons,99,Box Score,,
"Tue, Apr 26, 2005",8:00 PM,New Jersey Nets,87,Miami Heat,104,Box Score,,
"Tue, Apr 26, 2005",7:30 PM,Sacramento Kings,93,Seattle SuperSonics,105,Box Score,,
"Wed, Apr 27, 2005",7:30 PM,Washington Wizards,103,Chicago Bulls,113,Box Score,,
"Wed, Apr 27, 2005",7:30 PM,Memphis Grizzlies,103,Phoenix Suns,108,Box Score,,
"Wed, Apr 27, 2005",7:00 PM,Denver Nuggets,76,San Antonio Spurs,104,Box Score,,
"Thu, Apr 28, 2005",8:30 PM,Dallas Mavericks,106,Houston Rockets,102,Box Score,,
"Thu, Apr 28, 2005",7:30 PM,Boston Celtics,76,Indiana Pacers,99,Box Score,,
"Thu, Apr 28, 2005",7:00 PM,Miami Heat,108,New Jersey Nets,105,Box Score,2OT,
"Fri, Apr 29, 2005",8:00 PM,Phoenix Suns,110,Memphis Grizzlies,90,Box Score,,
"Fri, Apr 29, 2005",8:00 PM,Detroit Pistons,104,Philadelphia 76ers,115,Box Score,,
"Fri, Apr 29, 2005",7:30 PM,Seattle SuperSonics,104,Sacramento Kings,116,Box Score,,
"Sat, Apr 30, 2005",8:30 PM,San Antonio Spurs,86,Denver Nuggets,78,Box Score,,
"Sat, Apr 30, 2005",4:30 PM,Dallas Mavericks,97,Houston Rockets,93,Box Score,,
"Sat, Apr 30, 2005",7:00 PM,Boston Celtics,110,Indiana Pacers,79,Box Score,,
"Sat, Apr 30, 2005",3:00 PM,Chicago Bulls,99,Washington Wizards,117,Box Score,,
"Sun, May 1, 2005",7:00 PM,Phoenix Suns,123,Memphis Grizzlies,115,Box Score,,
"Sun, May 1, 2005",3:30 PM,Miami Heat,110,New Jersey Nets,97,Box Score,,
"Sun, May 1, 2005",1:00 PM,Detroit Pistons,97,Philadelphia 76ers,92,Box Score,OT,
"Sun, May 1, 2005",7:30 PM,Seattle SuperSonics,115,Sacramento Kings,102,Box Score,,
"Mon, May 2, 2005",7:00 PM,Houston Rockets,100,Dallas Mavericks,103,Box Score,,
"Mon, May 2, 2005",8:30 PM,San Antonio Spurs,126,Denver Nuggets,115,Box Score,OT,
"Mon, May 2, 2005",7:30 PM,Chicago Bulls,99,Washington Wizards,106,Box Score,,
"Tue, May 3, 2005",7:30 PM,Indiana Pacers,90,Boston Celtics,85,Box Score,,
"Tue, May 3, 2005",8:00 PM,Philadelphia 76ers,78,Detroit Pistons,88,Box Score,,
"Tue, May 3, 2005",7:30 PM,Sacramento Kings,118,Seattle SuperSonics,122,Box Score,,
"Wed, May 4, 2005",6:00 PM,Washington Wizards,112,Chicago Bulls,110,Box Score,,
"Wed, May 4, 2005",8:30 PM,Denver Nuggets,89,San Antonio Spurs,99,Box Score,,
"Thu, May 5, 2005",8:30 PM,Dallas Mavericks,83,Houston Rockets,101,Box Score,,
"Thu, May 5, 2005",6:00 PM,Boston Celtics,92,Indiana Pacers,89,Box Score,OT,
"Fri, May 6, 2005",8:00 PM,Chicago Bulls,91,Washington Wizards,94,Box Score,,
"Sat, May 7, 2005",7:00 PM,Indiana Pacers,97,Boston Celtics,70,Box Score,,
"Sat, May 7, 2005",8:30 PM,Houston Rockets,76,Dallas Mavericks,116,Box Score,,
"Sun, May 8, 2005",3:30 PM,Washington Wizards,86,Miami Heat,105,Box Score,,
"Sun, May 8, 2005",7:00 PM,Seattle SuperSonics,81,San Antonio Spurs,103,Box Score,,
"Mon, May 9, 2005",8:00 PM,Indiana Pacers,81,Detroit Pistons,96,Box Score,,
"Mon, May 9, 2005",7:30 PM,Dallas Mavericks,102,Phoenix Suns,127,Box Score,,
"Tue, May 10, 2005",7:00 PM,Washington Wizards,102,Miami Heat,108,Box Score,,
"Tue, May 10, 2005",8:30 PM,Seattle SuperSonics,91,San Antonio Spurs,108,Box Score,,
"Wed, May 11, 2005",8:00 PM,Indiana Pacers,92,Detroit Pistons,83,Box Score,,
"Wed, May 11, 2005",7:30 PM,Dallas Mavericks,108,Phoenix Suns,106,Box Score,,
"Thu, May 12, 2005",7:30 PM,San Antonio Spurs,91,Seattle SuperSonics,92,Box Score,,
"Thu, May 12, 2005",8:00 PM,Miami Heat,102,Washington Wizards,95,Box Score,,
"Fri, May 13, 2005",8:30 PM,Phoenix Suns,119,Dallas Mavericks,102,Box Score,,
"Fri, May 13, 2005",6:00 PM,Detroit Pistons,74,Indiana Pacers,79,Box Score,,
"Sat, May 14, 2005",8:00 PM,Miami Heat,99,Washington Wizards,95,Box Score,,
"Sun, May 15, 2005",8:30 PM,Phoenix Suns,109,Dallas Mavericks,119,Box Score,,
"Sun, May 15, 2005",2:30 PM,Detroit Pistons,89,Indiana Pacers,76,Box Score,,
"Sun, May 15, 2005",4:00 PM,San Antonio Spurs,89,Seattle SuperSonics,101,Box Score,,
"Tue, May 17, 2005",7:00 PM,Indiana Pacers,67,Detroit Pistons,86,Box Score,,
"Tue, May 17, 2005",8:30 PM,Seattle SuperSonics,90,San Antonio Spurs,103,Box Score,,
"Wed, May 18, 2005",6:00 PM,Dallas Mavericks,108,Phoenix Suns,114,Box Score,,
"Thu, May 19, 2005",7:00 PM,Detroit Pistons,88,Indiana Pacers,79,Box Score,,
"Thu, May 19, 2005",7:30 PM,San Antonio Spurs,98,Seattle SuperSonics,96,Box Score,,
"Fri, May 20, 2005",8:00 PM,Phoenix Suns,130,Dallas Mavericks,126,Box Score,OT,
"Sun, May 22, 2005",12:30 PM,San Antonio Spurs,121,Phoenix Suns,114,Box Score,,
"Mon, May 23, 2005",8:00 PM,Detroit Pistons,90,Miami Heat,81,Box Score,,
"Tue, May 24, 2005",6:00 PM,San Antonio Spurs,111,Phoenix Suns,108,Box Score,,
"Wed, May 25, 2005",8:00 PM,Detroit Pistons,86,Miami Heat,92,Box Score,,
"Sat, May 28, 2005",8:00 PM,Phoenix Suns,92,San Antonio Spurs,102,Box Score,,
"Sun, May 29, 2005",8:00 PM,Miami Heat,113,Detroit Pistons,104,Box Score,,
"Mon, May 30, 2005",7:30 PM,Phoenix Suns,111,San Antonio Spurs,106,Box Score,,
"Tue, May 31, 2005",8:00 PM,Miami Heat,96,Detroit Pistons,106,Box Score,,
"Wed, Jun 1, 2005",6:00 PM,San Antonio Spurs,101,Phoenix Suns,95,Box Score,,
"Thu, Jun 2, 2005",8:00 PM,Detroit Pistons,76,Miami Heat,88,Box Score,,
"Sat, Jun 4, 2005",8:00 PM,Miami Heat,66,Detroit Pistons,91,Box Score,,
"Mon, Jun 6, 2005",8:00 PM,Detroit Pistons,88,Miami Heat,82,Box Score,,
"Thu, Jun 9, 2005",8:00 PM,Detroit Pistons,69,San Antonio Spurs,84,Box Score,,
"Sun, Jun 12, 2005",8:00 PM,Detroit Pistons,76,San Antonio Spurs,97,Box Score,,
"Tue, Jun 14, 2005",9:00 PM,San Antonio Spurs,79,Detroit Pistons,96,Box Score,,
"Thu, Jun 16, 2005",9:00 PM,San Antonio Spurs,71,Detroit Pistons,102,Box Score,,
"Sun, Jun 19, 2005",9:00 PM,San Antonio Spurs,96,Detroit Pistons,95,Box Score,OT,
"Tue, Jun 21, 2005",8:00 PM,Detroit Pistons,95,San Antonio Spurs,86,Box Score,,
"Thu, Jun 23, 2005",8:00 PM,Detroit Pistons,74,San Antonio Spurs,81,Box Score,,
"Sat, Apr 22, 2006",3:00 PM,Washington Wizards,86,Cleveland Cavaliers,97,Box Score,,
"Sat, Apr 22, 2006",7:30 PM,Denver Nuggets,87,Los Angeles Clippers,89,Box Score,,
"Sat, Apr 22, 2006",8:00 PM,Chicago Bulls,106,Miami Heat,111,Box Score,,
"Sat, Apr 22, 2006",4:30 PM,Sacramento Kings,88,San Antonio Spurs,122,Box Score,,
"Sun, Apr 23, 2006",8:30 PM,Memphis Grizzlies,93,Dallas Mavericks,103,Box Score,,
"Sun, Apr 23, 2006",7:00 PM,Milwaukee Bucks,74,Detroit Pistons,92,Box Score,,
"Sun, Apr 23, 2006",1:00 PM,Indiana Pacers,90,New Jersey Nets,88,Box Score,,
"Sun, Apr 23, 2006",12:30 PM,Los Angeles Lakers,102,Phoenix Suns,107,Box Score,,
"Mon, Apr 24, 2006",7:30 PM,Denver Nuggets,87,Los Angeles Clippers,98,Box Score,,
"Mon, Apr 24, 2006",8:00 PM,Chicago Bulls,108,Miami Heat,115,Box Score,,
"Tue, Apr 25, 2006",7:00 PM,Washington Wizards,89,Cleveland Cavaliers,84,Box Score,,
"Tue, Apr 25, 2006",8:00 PM,Indiana Pacers,75,New Jersey Nets,90,Box Score,,
"Tue, Apr 25, 2006",8:30 PM,Sacramento Kings,119,San Antonio Spurs,128,Box Score,OT,
"Wed, Apr 26, 2006",7:00 PM,Memphis Grizzlies,79,Dallas Mavericks,94,Box Score,,
"Wed, Apr 26, 2006",7:30 PM,Milwaukee Bucks,98,Detroit Pistons,109,Box Score,,
"Wed, Apr 26, 2006",7:30 PM,Los Angeles Lakers,99,Phoenix Suns,93,Box Score,,
"Thu, Apr 27, 2006",7:00 PM,Miami Heat,90,Chicago Bulls,109,Box Score,,
"Thu, Apr 27, 2006",8:30 PM,Los Angeles Clippers,87,Denver Nuggets,94,Box Score,,
"Thu, Apr 27, 2006",7:30 PM,New Jersey Nets,95,Indiana Pacers,107,Box Score,,
"Fri, Apr 28, 2006",7:30 PM,Phoenix Suns,92,Los Angeles Lakers,99,Box Score,,
"Fri, Apr 28, 2006",7:00 PM,San Antonio Spurs,93,Sacramento Kings,94,Box Score,,
"Fri, Apr 28, 2006",8:00 PM,Cleveland Cavaliers,97,Washington Wizards,96,Box Score,,
"Sat, Apr 29, 2006",8:30 PM,Los Angeles Clippers,100,Denver Nuggets,86,Box Score,,
"Sat, Apr 29, 2006",3:00 PM,New Jersey Nets,97,Indiana Pacers,88,Box Score,,
"Sat, Apr 29, 2006",4:30 PM,Dallas Mavericks,94,Memphis Grizzlies,89,Box Score,OT,
"Sat, Apr 29, 2006",7:00 PM,Detroit Pistons,104,Milwaukee Bucks,124,Box Score,,
"Sun, Apr 30, 2006",12:00 PM,Miami Heat,87,Chicago Bulls,93,Box Score,,
"Sun, Apr 30, 2006",12:30 PM,Phoenix Suns,98,Los Angeles Lakers,99,Box Score,OT,
"Sun, Apr 30, 2006",7:00 PM,San Antonio Spurs,84,Sacramento Kings,102,Box Score,,
"Sun, Apr 30, 2006",7:30 PM,Cleveland Cavaliers,96,Washington Wizards,106,Box Score,,
"Mon, May 1, 2006",7:30 PM,Denver Nuggets,83,Los Angeles Clippers,101,Box Score,,
"Mon, May 1, 2006",7:00 PM,Dallas Mavericks,102,Memphis Grizzlies,76,Box Score,,
"Mon, May 1, 2006",7:30 PM,Detroit Pistons,109,Milwaukee Bucks,99,Box Score,,
"Tue, May 2, 2006",8:00 PM,Chicago Bulls,78,Miami Heat,92,Box Score,,
"Tue, May 2, 2006",7:00 PM,Indiana Pacers,86,New Jersey Nets,92,Box Score,,
"Tue, May 2, 2006",7:30 PM,Los Angeles Lakers,97,Phoenix Suns,114,Box Score,,
"Tue, May 2, 2006",8:30 PM,Sacramento Kings,98,San Antonio Spurs,109,Box Score,,
"Wed, May 3, 2006",8:30 PM,Washington Wizards,120,Cleveland Cavaliers,121,Box Score,OT,
"Wed, May 3, 2006",6:00 PM,Milwaukee Bucks,93,Detroit Pistons,122,Box Score,,
"Thu, May 4, 2006",7:00 PM,Miami Heat,113,Chicago Bulls,96,Box Score,,
"Thu, May 4, 2006",7:00 PM,New Jersey Nets,96,Indiana Pacers,90,Box Score,,
"Thu, May 4, 2006",7:30 PM,Phoenix Suns,126,Los Angeles Lakers,118,Box Score,OT,
"Fri, May 5, 2006",7:30 PM,San Antonio Spurs,105,Sacramento Kings,83,Box Score,,
"Fri, May 5, 2006",8:00 PM,Cleveland Cavaliers,114,Washington Wizards,113,Box Score,OT,
"Sat, May 6, 2006",5:30 PM,Los Angeles Lakers,90,Phoenix Suns,121,Box Score,,
"Sun, May 7, 2006",3:30 PM,Cleveland Cavaliers,86,Detroit Pistons,113,Box Score,,
"Sun, May 7, 2006",12:00 PM,Dallas Mavericks,85,San Antonio Spurs,87,Box Score,,
"Mon, May 8, 2006",8:00 PM,New Jersey Nets,100,Miami Heat,88,Box Score,,
"Mon, May 8, 2006",7:30 PM,Los Angeles Clippers,123,Phoenix Suns,130,Box Score,,
"Tue, May 9, 2006",7:00 PM,Cleveland Cavaliers,91,Detroit Pistons,97,Box Score,,
"Tue, May 9, 2006",8:30 PM,Dallas Mavericks,113,San Antonio Spurs,91,Box Score,,
"Wed, May 10, 2006",8:00 PM,New Jersey Nets,89,Miami Heat,111,Box Score,,
"Wed, May 10, 2006",7:30 PM,Los Angeles Clippers,122,Phoenix Suns,97,Box Score,,
"Fri, May 12, 2006",7:30 PM,Phoenix Suns,94,Los Angeles Clippers,91,Box Score,,
"Fri, May 12, 2006",8:00 PM,Miami Heat,103,New Jersey Nets,92,Box Score,,
"Sat, May 13, 2006",5:00 PM,Detroit Pistons,77,Cleveland Cavaliers,86,Box Score,,
"Sat, May 13, 2006",7:00 PM,San Antonio Spurs,103,Dallas Mavericks,104,Box Score,,
"Sun, May 14, 2006",5:00 PM,Phoenix Suns,107,Los Angeles Clippers,114,Box Score,,
"Sun, May 14, 2006",3:30 PM,Miami Heat,102,New Jersey Nets,92,Box Score,,
"Mon, May 15, 2006",7:00 PM,Detroit Pistons,72,Cleveland Cavaliers,74,Box Score,,
"Mon, May 15, 2006",8:30 PM,San Antonio Spurs,118,Dallas Mavericks,123,Box Score,OT,
"Tue, May 16, 2006",8:00 PM,New Jersey Nets,105,Miami Heat,106,Box Score,,
"Tue, May 16, 2006",7:30 PM,Los Angeles Clippers,118,Phoenix Suns,125,Box Score,2OT,
"Wed, May 17, 2006",7:00 PM,Cleveland Cavaliers,86,Detroit Pistons,84,Box Score,,
"Wed, May 17, 2006",7:30 PM,Dallas Mavericks,97,San Antonio Spurs,98,Box Score,,
"Thu, May 18, 2006",7:00 PM,Phoenix Suns,106,Los Angeles Clippers,118,Box Score,,
"Fri, May 19, 2006",7:00 PM,Detroit Pistons,84,Cleveland Cavaliers,82,Box Score,,
"Fri, May 19, 2006",8:30 PM,San Antonio Spurs,91,Dallas Mavericks,86,Box Score,,
"Sun, May 21, 2006",3:30 PM,Cleveland Cavaliers,61,Detroit Pistons,79,Box Score,,
"Mon, May 22, 2006",7:30 PM,Los Angeles Clippers,107,Phoenix Suns,127,Box Score,,
"Mon, May 22, 2006",7:00 PM,Dallas Mavericks,119,San Antonio Spurs,111,Box Score,OT,
"Tue, May 23, 2006",8:00 PM,Miami Heat,91,Detroit Pistons,86,Box Score,,
"Wed, May 24, 2006",7:30 PM,Phoenix Suns,121,Dallas Mavericks,118,Box Score,,
"Thu, May 25, 2006",8:00 PM,Miami Heat,88,Detroit Pistons,92,Box Score,,
"Fri, May 26, 2006",7:30 PM,Phoenix Suns,98,Dallas Mavericks,105,Box Score,,
"Sat, May 27, 2006",8:00 PM,Detroit Pistons,83,Miami Heat,98,Box Score,,
"Sun, May 28, 2006",7:30 PM,Dallas Mavericks,95,Phoenix Suns,88,Box Score,,
"Mon, May 29, 2006",8:00 PM,Detroit Pistons,78,Miami Heat,89,Box Score,,
"Tue, May 30, 2006",7:30 PM,Dallas Mavericks,86,Phoenix Suns,106,Box Score,,
"Wed, May 31, 2006",8:00 PM,Miami Heat,78,Detroit Pistons,91,Box Score,,
"Thu, Jun 1, 2006",7:30 PM,Phoenix Suns,101,Dallas Mavericks,117,Box Score,,
"Fri, Jun 2, 2006",8:00 PM,Detroit Pistons,78,Miami Heat,95,Box Score,,
"Sat, Jun 3, 2006",7:30 PM,Dallas Mavericks,102,Phoenix Suns,93,Box Score,,
"Thu, Jun 8, 2006",8:00 PM,Miami Heat,80,Dallas Mavericks,90,Box Score,,
"Sun, Jun 11, 2006",8:00 PM,Miami Heat,85,Dallas Mavericks,99,Box Score,,
"Tue, Jun 13, 2006",9:00 PM,Dallas Mavericks,96,Miami Heat,98,Box Score,,
"Thu, Jun 15, 2006",9:00 PM,Dallas Mavericks,74,Miami Heat,98,Box Score,,
"Sun, Jun 18, 2006",9:00 PM,Dallas Mavericks,100,Miami Heat,101,Box Score,OT,
"Tue, Jun 20, 2006",8:00 PM,Miami Heat,95,Dallas Mavericks,92,Box Score,,
"Sat, Apr 21, 2007",2:00 PM,Miami Heat,91,Chicago Bulls,96,Box Score,,
"Sat, Apr 21, 2007",7:00 PM,Orlando Magic,92,Detroit Pistons,100,Box Score,,
"Sat, Apr 21, 2007",8:30 PM,Utah Jazz,75,Houston Rockets,84,Box Score,,
"Sat, Apr 21, 2007",12:30 PM,New Jersey Nets,96,Toronto Raptors,91,Box Score,,
"Sun, Apr 22, 2007",12:30 PM,Washington Wizards,82,Cleveland Cavaliers,97,Box Score,,
"Sun, Apr 22, 2007",8:30 PM,Golden State Warriors,97,Dallas Mavericks,85,Box Score,,
"Sun, Apr 22, 2007",12:00 PM,Los Angeles Lakers,87,Phoenix Suns,95,Box Score,,
"Sun, Apr 22, 2007",6:00 PM,Denver Nuggets,95,San Antonio Spurs,89,Box Score,,
"Mon, Apr 23, 2007",7:00 PM,Orlando Magic,90,Detroit Pistons,98,Box Score,,
"Mon, Apr 23, 2007",8:30 PM,Utah Jazz,90,Houston Rockets,98,Box Score,,
"Tue, Apr 24, 2007",7:00 PM,Miami Heat,89,Chicago Bulls,107,Box Score,,
"Tue, Apr 24, 2007",7:30 PM,Los Angeles Lakers,98,Phoenix Suns,126,Box Score,,
"Tue, Apr 24, 2007",7:00 PM,New Jersey Nets,83,Toronto Raptors,89,Box Score,,
"Wed, Apr 25, 2007",8:00 PM,Washington Wizards,102,Cleveland Cavaliers,109,Box Score,,
"Wed, Apr 25, 2007",8:30 PM,Golden State Warriors,99,Dallas Mavericks,112,Box Score,,
"Wed, Apr 25, 2007",6:00 PM,Denver Nuggets,88,San Antonio Spurs,97,Box Score,,
"Thu, Apr 26, 2007",7:30 PM,Phoenix Suns,89,Los Angeles Lakers,95,Box Score,,
"Thu, Apr 26, 2007",8:00 PM,Detroit Pistons,93,Orlando Magic,77,Box Score,,
"Thu, Apr 26, 2007",7:00 PM,Houston Rockets,67,Utah Jazz,81,Box Score,,
"Fri, Apr 27, 2007",7:30 PM,Dallas Mavericks,91,Golden State Warriors,109,Box Score,,
"Fri, Apr 27, 2007",8:00 PM,Chicago Bulls,104,Miami Heat,96,Box Score,,
"Fri, Apr 27, 2007",7:00 PM,Toronto Raptors,89,New Jersey Nets,102,Box Score,,
"Sat, Apr 28, 2007",6:00 PM,San Antonio Spurs,96,Denver Nuggets,91,Box Score,,
"Sat, Apr 28, 2007",3:00 PM,Detroit Pistons,97,Orlando Magic,93,Box Score,,
"Sat, Apr 28, 2007",8:30 PM,Houston Rockets,85,Utah Jazz,98,Box Score,,
"Sat, Apr 28, 2007",5:30 PM,Cleveland Cavaliers,98,Washington Wizards,92,Box Score,,
"Sun, Apr 29, 2007",7:00 PM,Dallas Mavericks,99,Golden State Warriors,103,Box Score,,
"Sun, Apr 29, 2007",12:30 PM,Phoenix Suns,113,Los Angeles Lakers,100,Box Score,,
"Sun, Apr 29, 2007",1:00 PM,Chicago Bulls,92,Miami Heat,79,Box Score,,
"Sun, Apr 29, 2007",7:30 PM,Toronto Raptors,81,New Jersey Nets,102,Box Score,,
"Mon, Apr 30, 2007",8:30 PM,San Antonio Spurs,96,Denver Nuggets,89,Box Score,,
"Mon, Apr 30, 2007",7:00 PM,Utah Jazz,92,Houston Rockets,96,Box Score,,
"Mon, Apr 30, 2007",7:00 PM,Cleveland Cavaliers,97,Washington Wizards,90,Box Score,,
"Tue, May 1, 2007",8:30 PM,Golden State Warriors,112,Dallas Mavericks,118,Box Score,,
"Tue, May 1, 2007",7:00 PM,New Jersey Nets,96,Toronto Raptors,98,Box Score,,
"Wed, May 2, 2007",7:30 PM,Los Angeles Lakers,110,Phoenix Suns,119,Box Score,,
"Wed, May 2, 2007",7:00 PM,Denver Nuggets,78,San Antonio Spurs,93,Box Score,,
"Thu, May 3, 2007",7:30 PM,Dallas Mavericks,86,Golden State Warriors,111,Box Score,,
"Thu, May 3, 2007",6:00 PM,Houston Rockets,82,Utah Jazz,94,Box Score,,
"Fri, May 4, 2007",8:00 PM,Toronto Raptors,97,New Jersey Nets,98,Box Score,,
"Sat, May 5, 2007",7:00 PM,Chicago Bulls,69,Detroit Pistons,95,Box Score,,
"Sat, May 5, 2007",8:30 PM,Utah Jazz,103,Houston Rockets,99,Box Score,,
"Sun, May 6, 2007",1:00 PM,New Jersey Nets,77,Cleveland Cavaliers,81,Box Score,,
"Sun, May 6, 2007",12:30 PM,San Antonio Spurs,111,Phoenix Suns,106,Box Score,,
"Mon, May 7, 2007",8:00 PM,Chicago Bulls,87,Detroit Pistons,108,Box Score,,
"Mon, May 7, 2007",8:30 PM,Golden State Warriors,112,Utah Jazz,116,Box Score,,
"Tue, May 8, 2007",8:00 PM,New Jersey Nets,92,Cleveland Cavaliers,102,Box Score,,
"Tue, May 8, 2007",7:30 PM,San Antonio Spurs,81,Phoenix Suns,101,Box Score,,
"Wed, May 9, 2007",7:00 PM,Golden State Warriors,117,Utah Jazz,127,Box Score,OT,
"Thu, May 10, 2007",8:00 PM,Detroit Pistons,81,Chicago Bulls,74,Box Score,,
"Fri, May 11, 2007",6:00 PM,Utah Jazz,105,Golden State Warriors,125,Box Score,,
"Sat, May 12, 2007",5:00 PM,Cleveland Cavaliers,85,New Jersey Nets,96,Box Score,,
"Sat, May 12, 2007",7:00 PM,Phoenix Suns,101,San Antonio Spurs,108,Box Score,,
"Sun, May 13, 2007",2:30 PM,Detroit Pistons,87,Chicago Bulls,102,Box Score,,
"Sun, May 13, 2007",6:00 PM,Utah Jazz,115,Golden State Warriors,101,Box Score,,
"Mon, May 14, 2007",7:00 PM,Cleveland Cavaliers,87,New Jersey Nets,85,Box Score,,
