Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes
"Sun, May 27, 2001",2:30 PM,San Antonio Spurs,82,Los Angeles Lakers,111,Box Score,,
"Mon, May 28, 2001",4:30 PM,Philadelphia 76ers,89,Milwaukee Bucks,83,Box Score,,
"Wed, May 30, 2001",9:00 PM,Milwaukee Bucks,88,Philadelphia 76ers,89,Box Score,,
"Fri, Jun 1, 2001",8:00 PM,Philadelphia 76ers,100,Milwaukee Bucks,110,Box Score,,
"Sun, Jun 3, 2001",7:30 PM,Milwaukee Bucks,91,Philadelphia 76ers,108,Box Score,,
"Wed, Jun 6, 2001",6:00 PM,Philadelphia 76ers,107,Los Angeles Lakers,101,Box Score,OT,
"Fri, Jun 8, 2001",6:00 PM,Philadelphia 76ers,89,Los Angeles Lakers,98,Box Score,,
"Sun, Jun 10, 2001",7:30 PM,Los Angeles Lakers,96,Philadelphia 76ers,91,Box Score,,
"Wed, Jun 13, 2001",9:00 PM,Los Angeles Lakers,100,Philadelphia 76ers,86,Box Score,,
"Fri, Jun 15, 2001",9:00 PM,Los Angeles Lakers,108,Philadelphia 76ers,96,Box Score,,
"Sat, Apr 20, 2002",8:30 PM,Orlando Magic,79,Charlotte Hornets,80,Box Score,,
"Sat, Apr 20, 2002",12:30 PM,Indiana Pacers,89,New Jersey Nets,83,Box Score,,
"Sat, Apr 20, 2002",12:00 PM,Utah Jazz,86,Sacramento Kings,89,Box Score,,
"Sat, Apr 20, 2002",4:30 PM,Seattle SuperSonics,89,San Antonio Spurs,110,Box Score,,
"Sun, Apr 21, 2002",12:30 PM,Philadelphia 76ers,82,Boston Celtics,92,Box Score,,
"Sun, Apr 21, 2002",2:00 PM,Minnesota Timberwolves,94,Dallas Mavericks,101,Box Score,,
"Sun, Apr 21, 2002",8:30 PM,Toronto Raptors,63,Detroit Pistons,85,Box Score,,
"Sun, Apr 21, 2002",2:30 PM,Portland Trail Blazers,87,Los Angeles Lakers,95,Box Score,,
"Mon, Apr 22, 2002",7:00 PM,Indiana Pacers,79,New Jersey Nets,95,Box Score,,
"Mon, Apr 22, 2002",8:30 PM,Seattle SuperSonics,98,San Antonio Spurs,90,Box Score,,
"Tue, Apr 23, 2002",8:00 PM,Orlando Magic,111,Charlotte Hornets,103,Box Score,OT,
"Tue, Apr 23, 2002",7:30 PM,Utah Jazz,93,Sacramento Kings,86,Box Score,,
"Wed, Apr 24, 2002",8:30 PM,Minnesota Timberwolves,110,Dallas Mavericks,122,Box Score,,
"Wed, Apr 24, 2002",7:00 PM,Toronto Raptors,91,Detroit Pistons,96,Box Score,,
"Thu, Apr 25, 2002",8:00 PM,Philadelphia 76ers,85,Boston Celtics,93,Box Score,,
"Thu, Apr 25, 2002",7:30 PM,Portland Trail Blazers,96,Los Angeles Lakers,103,Box Score,,
"Fri, Apr 26, 2002",7:30 PM,New Jersey Nets,85,Indiana Pacers,84,Box Score,,
"Sat, Apr 27, 2002",12:30 PM,Charlotte Hornets,110,Orlando Magic,100,Box Score,OT,
"Sat, Apr 27, 2002",2:30 PM,San Antonio Spurs,102,Seattle SuperSonics,75,Box Score,,
"Sat, Apr 27, 2002",8:30 PM,Detroit Pistons,84,Toronto Raptors,94,Box Score,,
"Sat, Apr 27, 2002",1:00 PM,Sacramento Kings,90,Utah Jazz,87,Box Score,,
"Sun, Apr 28, 2002",2:00 PM,Dallas Mavericks,115,Minnesota Timberwolves,102,Box Score,,
"Sun, Apr 28, 2002",12:30 PM,Boston Celtics,103,Philadelphia 76ers,108,Box Score,,
"Sun, Apr 28, 2002",2:30 PM,Los Angeles Lakers,92,Portland Trail Blazers,91,Box Score,,
"Mon, Apr 29, 2002",7:30 PM,Detroit Pistons,83,Toronto Raptors,89,Box Score,,
"Mon, Apr 29, 2002",8:00 PM,Sacramento Kings,91,Utah Jazz,86,Box Score,,
"Tue, Apr 30, 2002",8:30 PM,New Jersey Nets,74,Indiana Pacers,97,Box Score,,
"Tue, Apr 30, 2002",7:00 PM,Charlotte Hornets,102,Orlando Magic,85,Box Score,,
"Wed, May 1, 2002",8:00 PM,Boston Celtics,81,Philadelphia 76ers,83,Box Score,,
"Wed, May 1, 2002",7:30 PM,San Antonio Spurs,79,Seattle SuperSonics,91,Box Score,,
"Thu, May 2, 2002",8:30 PM,Toronto Raptors,82,Detroit Pistons,85,Box Score,,
"Thu, May 2, 2002",7:00 PM,Indiana Pacers,109,New Jersey Nets,120,Box Score,2OT,
"Fri, May 3, 2002",7:00 PM,Philadelphia 76ers,87,Boston Celtics,120,Box Score,,
"Fri, May 3, 2002",8:30 PM,Seattle SuperSonics,78,San Antonio Spurs,101,Box Score,,
"Sat, May 4, 2002",3:30 PM,Dallas Mavericks,91,Sacramento Kings,108,Box Score,,
"Sun, May 5, 2002",3:00 PM,Boston Celtics,84,Detroit Pistons,96,Box Score,,
"Sun, May 5, 2002",2:30 PM,San Antonio Spurs,80,Los Angeles Lakers,86,Box Score,,
"Sun, May 5, 2002",12:30 PM,Charlotte Hornets,93,New Jersey Nets,99,Box Score,,
"Mon, May 6, 2002",6:00 PM,Dallas Mavericks,110,Sacramento Kings,102,Box Score,,
"Tue, May 7, 2002",7:30 PM,San Antonio Spurs,88,Los Angeles Lakers,85,Box Score,,
