Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes,,,,
"Tue, Nov 7, 2000",7:00 PM,New York Knicks,103,Milwaukee Bucks,89,Box Score,,,,,,
"Tue, Nov 7, 2000",7:00 PM,San Antonio Spurs,81,Phoenix Suns,100,Box Score,,,,,,
"Tue, Nov 7, 2000",7:00 PM,Atlanta Hawks,88,Portland Trail Blazers,97,Box Score,,,,,,
"Tue, Nov 7, 2000",7:00 PM,Boston Celtics,75,Toronto Raptors,105,Box Score,,,,,,
"Wed, Nov 8, 2000",7:00 PM,Vancouver Grizzlies,101,Dallas Mavericks,74,Box Score,,,,,,
"Wed, Nov 8, 2000",7:00 PM,Minnesota Timberwolves,107,Denver Nuggets,109,Box Score,OT,,,,,
"Wed, Nov 8, 2000",7:00 PM,Milwaukee Bucks,97,Indiana Pacers,108,Box Score,,,,,,
"Wed, Nov 8, 2000",7:30 PM,Utah Jazz,93,Los Angeles Clippers,87,Box Score,OT,,,,,
"Wed, Nov 8, 2000",7:30 PM,Seattle SuperSonics,81,Miami Heat,87,Box Score,,,,,,
"Wed, Nov 8, 2000",7:30 PM,Cleveland Cavaliers,99,New York Knicks,97,Box Score,,,,,,
"Wed, Nov 8, 2000",7:30 PM,Charlotte Hornets,96,Orlando Magic,90,Box Score,,,,,,
"Wed, Nov 8, 2000",7:00 PM,Detroit Pistons,94,Philadelphia 76ers,103,Box Score,,,,,,
"Wed, Nov 8, 2000",7:30 PM,Golden State Warriors,84,Sacramento Kings,115,Box Score,,,,,,
"Wed, Nov 8, 2000",7:00 PM,Los Angeles Lakers,81,San Antonio Spurs,91,Box Score,,,,,,
"Wed, Nov 8, 2000",7:00 PM,New Jersey Nets,102,Washington Wizards,86,Box Score,,,,,,
"Thu, Nov 9, 2000",7:30 PM,Seattle SuperSonics,102,Charlotte Hornets,94,Box Score,,,,,,
"Thu, Nov 9, 2000",7:30 PM,Orlando Magic,90,Chicago Bulls,95,Box Score,,,,,,
"Thu, Nov 9, 2000",7:30 PM,Vancouver Grizzlies,78,Houston Rockets,85,Box Score,,,,,,
"Thu, Nov 9, 2000",7:00 PM,Philadelphia 76ers,84,Minnesota Timberwolves,82,Box Score,,,,,,
"Thu, Nov 9, 2000",7:30 PM,Detroit Pistons,108,New Jersey Nets,94,Box Score,,,,,,
"Thu, Nov 9, 2000",7:00 PM,Atlanta Hawks,79,Phoenix Suns,88,Box Score,,,,,,
"Thu, Nov 9, 2000",7:00 PM,Denver Nuggets,91,Portland Trail Blazers,107,Box Score,,,,,,
"Fri, Nov 10, 2000",7:30 PM,New York Knicks,103,Boston Celtics,101,Box Score,OT,,,,,
"Fri, Nov 10, 2000",7:00 PM,San Antonio Spurs,77,Dallas Mavericks,79,Box Score,,,,,,
"Fri, Nov 10, 2000",7:30 PM,Sacramento Kings,114,Golden State Warriors,107,Box Score,OT,,,,,
"Fri, Nov 10, 2000",7:30 PM,Atlanta Hawks,106,Los Angeles Clippers,115,Box Score,,,,,,
"Fri, Nov 10, 2000",7:00 PM,Cleveland Cavaliers,88,Toronto Raptors,115,Box Score,,,,,,
"Fri, Nov 10, 2000",7:00 PM,Miami Heat,87,Utah Jazz,80,Box Score,,,,,,
